selling_club,selling_league,market_val,age_at_transfer,transfer_fee,transfer_window_idx,contract_left_days,position,minutes_played,yellow_cards,red_cards,second_yellow_card,fouls_committed,fouls_drawn,offsides,crosses,interceptions,tackles_won,penalty_kicks_won,penalty_kicks_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_perc,touches,touches_def_pen_area,touches_def_3rd,touches_att_3rd,touches_att_pen_area,take_ons_attempted,take_ons_success_perc,total_miscontrols,tackles_att_3rd,dribbles_tackeled_perc,total_blocks,passes_blocked,clearances,errors,dead_ball_pass,free_kick_pass,through_balls,switches,throw_ins,corner_kick,straight_corner,passes_offside,pass_compl_perc,short_pass_compl_perc,medium_pass_compl_perc,long_pass_compl_perc,assists,xA,crosses_into_penalty_area,goals,penalty_kicks_scored,shot_creation_ratio,aerials_won_perc_available,take_ons_success_perc_available,tackeled_during_take_on_perc_available,dribbles_tackeled_perc_available,pass_compl_perc_available,short_pass_compl_perc_available,medium_pass_compl_perc_available,long_pass_compl_perc_available,shot_creation_ratio_available
75,7,-0.35084819221560687,-0.051349276097767065,8860000.0,15.0,0.43407049032109074,0,2.5,5.18,-1.28,-0.84,0.67,-1.55,-4.78,-8.68,4.91,6.36,-1.42,-1.62,-0.85,0.97,12.38,1.5,0.54,5.49,1.03,13.98,-14.42,-8.91,-6.63,0.18,-2.75,-5.47,0.5,2.41,8.37,8.5,3.91,-7.91,3.18,-3.87,-6.65,-7.02,-4.88,-1.01,-5.36,0.86,0.02,0.65,0.8,-3.89,-6.09,-5.2,-4.54,-1.4,0.4816,1,1,1,1,1,1,1,1,1
37,5,2.79442373759062,0.5658263682466366,35000000.0,2.0,-0.15072207198967846,2,12.17,-0.52,-1.28,-0.84,-11.79,-10.86,-4.78,-9.15,-10.41,-10.99,-1.42,8.23,-0.85,-12.63,-10.17,-10.83,0.04,-1.95,60.9,28.95,-16.25,-11.51,-10.94,-0.03,-12.55,-5.47,0.08,-11.6,-6.33,-9.49,-2.43,19.78,3.87,-3.87,-6.65,-7.02,-4.88,-1.01,0.09,0.06,0.79,0.88,-0.14,-3.89,-6.75,-5.2,-4.54,-1.4,0.3003,1,1,1,1,1,1,1,1,1
167,7,-0.8114058676515187,0.25723854607443475,300000.0,8.0,-1.1532236073795685,2,0.76,-0.39,-0.08,-0.05,-0.8,-0.74,-0.3,-0.57,-0.65,-0.69,-0.09,-0.1,-0.05,-1.2,0.55,-0.72,1.62,-0.45,2.87,1.2,-1.02,-0.72,-0.68,-0.03,-0.78,-0.34,0.08,-0.73,-0.4,-0.68,-0.15,2.19,2.15,-0.24,-0.42,-0.44,-0.31,-0.06,-0.34,-0.4,0.88,0.93,0.06,-0.24,-0.42,-0.32,-0.28,-0.09,0.3306,1,1,1,1,1,1,1,1,1
120,1,-0.8001727536164964,-0.051349276097767065,2350000.0,14.0,-1.114063391153401,2,7.61,-1.04,-0.8,-0.53,-7.97,-6.44,-2.99,-5.72,-5.55,-6.87,-0.89,-1.01,-0.53,-10.29,-3.69,-6.53,0.35,2.15,47.95,24.36,-10.16,-7.19,-6.83,-0.03,-7.84,-3.42,0.08,-7.25,-3.96,-3.93,-1.52,24.59,20.85,-2.42,-0.9,-4.39,-3.05,-0.63,-3.35,-0.63,0.78,0.86,-0.39,-2.43,-4.22,-3.25,-2.84,-0.87,0.2588,1,1,1,1,1,1,1,1,1
98,5,-0.4631793325658292,-0.9771127426143724,14300000.0,14.0,-0.15072207198967846,0,-5.59,-1.42,-0.88,-0.58,1.78,-2.52,4.01,1.18,2.42,2.65,-0.97,-1.11,-0.58,3.15,0.51,-4.65,0.78,2.26,-3.52,-0.18,3.28,-1.16,4.79,-0.32,-1.09,1.38,0.23,0.03,1.16,-3.15,-1.67,7.48,-2.73,0.67,5.21,14.4,-2.45,-0.7,1.77,0.73,0.47,0.24,0.05,1.17,1.28,3.41,0.01,-0.96,0.164,1,1,1,1,1,1,1,1,1
21,6,0.04231079901017153,1.491589834763242,4900000.0,12.0,1.7028614960489203,2,12.07,-0.52,-1.28,-0.84,-12.75,-5.27,-4.78,-9.15,-10.41,-10.99,-1.42,-1.62,-0.85,-12.98,-8.95,-11.48,0.33,-9.27,34.74,15.25,-16.25,-11.51,-10.94,-0.03,-11.8,-5.47,-0.02,-11.6,-6.33,-9.01,3.91,14.33,10.83,-3.87,-6.65,-7.02,-4.88,-1.01,-5.36,0.45,0.8,0.89,-0.1,-3.89,-6.75,-5.2,-4.54,-1.4,0.3282,1,1,1,1,1,1,1,1,1
48,5,-0.013854771164939664,0.25723854607443475,13500000.0,2.0,1.7916246528282336,3,-4.55,-1.17,-0.24,-0.16,-0.47,-2.21,-0.9,-0.78,-1.95,-2.06,-0.27,-0.3,-0.16,-3.26,-1.41,-1.5,0.04,-3.35,-1.58,-2.53,-1.43,-1.64,-2.05,-0.03,-1.6,-1.02,0.08,-1.17,0.65,-2.05,-0.46,-1.61,-1.88,-0.73,0.38,-1.32,-0.92,-0.19,-1.01,-0.02,0.17,-0.51,0.48,-0.73,-0.61,-0.97,-0.85,-0.26,0.4987,1,1,1,1,1,1,1,1,1
91,0,0.5478009305861723,-0.051349276097767065,20000000.0,16.0,-0.9965827424748982,0,0.11,-2.33,-0.48,-0.32,-1.91,-3.49,0.64,-3.43,1.84,-0.04,-0.53,-0.61,-0.32,-1.29,0.22,2.19,0.08,0.7,-0.89,0.7,-2.21,-1.72,-0.41,-0.47,-1.69,3.09,-0.19,1.66,4.98,1.24,5.43,-2.99,-0.98,-1.45,-0.86,-1.72,-1.83,-0.38,-2.01,0.97,0.62,0.62,0.39,-1.46,-2.53,-1.95,-1.7,-0.52,2.116,1,1,1,1,1,1,1,1,1
144,7,0.8286287814617282,0.25723854607443475,21100000.0,4.0,0.9092144471985907,4,3.56,-0.91,11.25,-0.89,-6.84,7.96,-0.21,30.43,-5.31,-8.62,9.66,-1.72,-0.9,-1.98,-9.62,-2.46,-0.48,4.2,-8.18,-12.95,37.22,7.0,14.85,0.09,4.0,-3.24,-0.23,-2.32,-6.72,-11.15,-2.59,4.72,-2.32,2.55,-3.81,-0.13,32.94,-1.08,-0.24,-0.09,-0.02,-0.26,-0.25,7.4,12.54,20.08,4.57,-1.48,0.3897,1,1,1,1,1,1,1,1,1
5,2,0.5478009305861723,0.25723854607443475,18000000.0,14.0,-0.9965827424748982,1,12.47,-0.91,-1.36,-0.89,-2.04,8.9,33.83,-0.38,-10.1,-1.47,-1.51,-1.72,-0.9,-6.86,11.7,20.26,-0.18,3.2,-6.29,-12.43,25.13,57.41,21.0,-0.51,34.91,7.04,0.27,5.69,-1.21,-2.4,-2.59,-3.68,-9.96,22.54,9.24,-6.54,-5.19,-1.08,-0.24,-0.54,-0.38,-0.68,0.02,7.4,17.8,-3.2,29.61,9.36,0.6075,1,1,1,1,1,1,1,1,1
