player_name,selling_club,selling_league,market_val,age_at_transfer,transfer_fee,transfer_window_idx,contract_left_days
Lucas Da Cunha,Nice,Ligue-1,3000000.0,21.0,400000.0,13.0,529.0
Lucas Da Cunha,Stade Rennais,Ligue-1,1800000.0,19.0,1000000.0,6.0,270.0
Simone Verdi,Napoli,Serie-A,13000000.0,28.0,22000000.0,6.0,1029.0
Simone Verdi,Bologna,Serie-A,25000000.0,25.0,24500000.0,2.0,1090.0
Jesús Rodríguez,Real Betis,La-Liga,30000000.0,19.0,22500000.0,16.0,1453.0
Nicolas Kühn,Rapid Vienna,Bundesliga,1500000.0,25.0,5100000.0,15.0,894.0
Jayden Addai,AZ Alkmaar,Eredivisie,1500000.0,19.0,14000000.0,16.0,1086.0
Álvaro Morata,Atlético,La-Liga,16000000.0,31.0,17200000.0,14.0,684.0
Álvaro Morata,Chelsea,Premier-League,36000000.0,27.0,35000000.0,6.0,725.0
Álvaro Morata,Real Madrid,La-Liga,40000000.0,24.0,66000000.0,0.0,1434.0
Anastasios Douvikas,Utrecht,Eredivisie,9000000.0,25.0,12000000.0,12.0,667.0
Alberto Cerri,Cagliari,Serie-A,2000000.0,27.0,1250000.0,12.0,360.0
Alberto Cerri,Juventus,Serie-A,6000000.0,23.0,9000000.0,4.0,360.0
Luca Lezzerini,Fiorentina,Serie-A,400000.0,22.0,450000.0,0.0,350.0
Marin Pongracic,Lecce,Serie-A,7000000.0,26.0,15000000.0,14.0,706.0
Marin Pongracic,Wolfsburg,Bundesliga,4000000.0,25.0,1600000.0,12.0,360.0
Marin Pongracic,Salzburg,Bundesliga,6000000.0,22.0,9000000.0,7.0,866.0
Mattia Viti,FC Empoli,Serie-A,7000000.0,20.0,13000000.0,10.0,1057.0
Pablo Marí,Arsenal,Premier-League,5000000.0,29.0,6200000.0,12.0,360.0
Pablo Marí,Man City,Premier-League,800000.0,25.0,1700000.0,4.0,349.0
Robin Gosens,Union Berlin,Bundesliga,8000000.0,30.0,7000000.0,16.0,1090.0
Robin Gosens,Inter,Serie-A,15000000.0,29.0,13000000.0,12.0,1045.0
Robin Gosens,Atalanta,Serie-A,28000000.0,27.0,27400000.0,10.0,725.0
Robin Gosens,Heracles Almelo,Eredivisie,1000000.0,22.0,1170000.0,0.0,360.0
Fabiano Parisi,FC Empoli,Serie-A,10000000.0,22.0,10000000.0,12.0,711.0
Tariq Lamptey,Brighton,Premier-League,11000000.0,24.0,6000000.0,16.0,299.0
